obstacle_width,obstacle_height,dino_position_y,distanceFromNextObstacle,speed,label
3,250,340,118.44407963254221,21,Duck
-18,250,340,133.05637902783917,21,Duck
-39,250,340,149.20120642943877,21,Duck
-60,250,340,166.43316977093238,21,Duck
-81,250,340,184.44782460088814,21,Duck
1100,300,340,1020.7840124139876,21,Duck
1079,300,340,999.8004800959039,21,Duck
1058,300,340,978.8176541113263,21,Duck
1037,300,340,957.8355808801425,21,Duck
1016,300,340,936.8543109790337,21,Duck
995,300,340,915.8738996171908,21,Duck
974,300,340,894.8944071788582,21,Duck
953,300,340,873.9158998439152,21,Duck
932,300,340,852.9384502999029,21,Duck
911,300,340,831.9621385616055,21,Duck
890,300,310,810.0617260431454,21,Run
869,300,310,789.0633688114028,21,Run
848,300,310,768.0651014074263,21,Run
827,300,310,747.0669314057476,21,Run
806,300,310,726.0688672570943,21,Run
785,300,310,705.0709184188496,21,Run
764,300,310,684.0730955095369,21,Run
743,300,310,663.0754104926527,21,Run
722,300,310,642.0778768965646,21,Run
701,300,310,621.0805100790074,21,Run
680,300,310,600.0833275470999,21,Run
659,300,310,579.0863493469692,21,Run
638,300,310,558.0895985413094,21,Run
617,300,310,537.093101798934,21,Run
596,300,310,516.0968901282006,21,Run
575,300,310,495.1009997970111,21,Run
554,300,310,474.10547349719553,21,Run
533,300,310,453.1103618325231,21,Run
512,300,310,432.11572524035734,21,Run
491,300,310,411.1216365018995,21,Run
470,300,310,390.1281840626232,21,Run
449,300,310,369.1354764852601,21,Run
428,300,310,348.1436485130815,21,Run
407,300,310,327.15286946624815,21,Run
386,300,310,306.1633550900565,21,Run
365,300,310,285.17538463198395,21,Run
344,300,310,264.18932605235966,21,Run
323,300,276,244.1823089414956,21,Jump
302,300,245,228.7116088002531,21,Jump
281,300,217,217.46264046957583,21,Jump
260,300,192,209.91426821443082,21,Jump
239,300,170,205.38013535880242,21,Jump
218,300,152,202.35612172603032,21,Jump
197,300,137,200.6439632782407,21,Jump
176,300,125,199.60210419732553,21,Jump
155,300,116,198.69826370655582,21,Jump
134,300,110,197.52468200202222,21,Jump
113,300,108,194.81529714065064,21,Jump
92,300,109,191.3765920900464,21,Jump
71,300,113,187.21645226849054,21,Jump
50,300,120,182.4828759089466,21,Jump
29,300,130,177.48521065147935,21,Jump
8,300,144,171.81385275931623,21,Jump
-13,300,161,167.2423391369542,21,Jump
-34,300,181,164.7938105633825,21,Jump
-55,300,204,165.65325230734229,21,Jump
-76,300,230,170.985379491932,21,Jump
-97,300,260,181.46349495146399,21,Jump
1100,300,293,1020.0240193250353,21,Jump
1079,300,310,999.0500487963553,21,Run
1058,300,310,978.0511234081785,21,Run
1037,300,310,957.052245177869,21,Run
1016,300,310,936.0534172791636,21,Run
995,300,310,915.0546431771165,21,Run
974,300,310,894.0559266623089,21,Run
953,300,310,873.0572718899946,21,Run
932,300,310,852.0586834250327,21,Run
911,300,310,831.0601662936324,21,Run
890,300,310,810.0617260431454,21,Run
869,300,310,789.0633688114028,21,Run
848,300,310,768.0651014074263,21,Run
827,300,310,747.0669314057476,21,Run
806,300,310,726.0688672570943,21,Run
785,300,310,705.0709184188496,21,Run
764,300,310,684.0730955095369,21,Run
743,300,310,663.0754104926527,21,Run
722,300,310,642.0778768965646,21,Run
701,300,310,621.0805100790074,21,Run
680,300,310,600.0833275470999,22,Run
658,300,310,578.0864987179687,22,Run
636,300,310,556.089920786198,22,Run
614,300,310,534.0936247513164,22,Run
592,300,310,512.0976469385502,22,Run
570,300,310,490.10203019371386,22,Run
548,300,310,468.10682541488325,22,Run
526,300,310,446.1120935370392,22,Run
504,300,310,424.11790813404707,22,Run
482,300,310,402.1243588742169,22,Run
460,300,310,380.13155617496426,22,Run
438,300,310,358.13963757171587,22,Run
416,300,310,336.1487765856065,22,Run
394,300,310,314.1591953134589,22,Run
372,300,310,292.1711826994579,22,Run
350,300,310,270.1851217221259,22,Run
328,300,310,248.20153101864622,22,Run
306,300,310,226.2211307548435,22,Run
284,300,276,205.40691322348428,22,Jump
262,300,245,190.12890364171355,22,Jump
240,300,217,180.24705268048075,22,Jump
218,300,192,175.2369823981228,22,Jump
196,300,170,174.22973339817747,22,Jump
174,300,152,175.32826355154492,22,Jump
152,300,137,178.1937148162078,22,Jump
130,300,125,182.00274723201295,22,Jump
108,300,116,186.11824198610947,22,Jump
86,300,110,190.09471323527123,22,Jump
64,300,108,192.66551326067673,22,Jump
42,300,109,194.74342094150447,22,Jump
20,300,113,196.38991827484423,22,Jump
-2,300,120,197.7978766316767,22,Jump
-24,300,130,199.28873525616044,22,Jump
-46,300,144,200.52929960482084,22,Jump
-68,300,161,203.03940504246953,22,Jump
1100,250,181,1022.3311596542483,22,Jump
1078,250,204,999.0595577842194,22,Jump
1056,250,230,976.2048965253146,22,Jump
1034,250,260,954.0524094618702,22,Jump
1012,250,293,932.9914254697093,22,Jump
990,250,310,911.9758768739445,22,Run
968,250,310,890.0247187578557,22,Run
946,250,310,868.0760335362335,22,Run
924,250,310,846.1300136503846,22,Run
902,250,310,824.1868720138656,22,Run
880,250,310,802.2468448052632,22,Run
858,250,310,780.3101947302752,22,Run
836,250,310,758.3772148475981,22,Run
814,250,310,736.4482330754823,22,Run
792,250,310,714.5236175242915,22,Run
770,250,310,692.6037828369117,22,Run
748,250,310,670.6891977659996,22,Run
726,250,310,648.7803942783721,22,Run
704,250,310,626.8779785572309,22,Run
682,250,310,604.9826443791591,22,Run
660,250,310,583.09518948453,22,Run
638,250,310,561.2165357506851,22,Run
616,250,310,539.3477542365408,22,Run
594,250,310,517.4900965235953,22,Run
572,250,310,495.6450342735212,22,Run
550,250,340,478.53944456021594,22,Duck
528,250,340,456.95076321196797,22,Duck
506,250,340,435.4032613566417,22,Duck
484,250,340,413.90337036559634,22,Duck
462,250,340,392.4589150471677,22,Duck
440,250,340,371.07950630558946,22,Duck
418,250,340,349.77707186149297,22,Duck
396,250,340,328.5665838152139,22,Duck
374,250,340,307.46707140765494,22,Duck
352,250,340,286.5030540849434,22,Duck
330,250,340,265.70660511172844,22,Duck
308,250,340,245.12037858978596,22,Duck
286,250,340,224.80213522117623,22,Duck
264,250,340,204.83163818121457,22,Duck
242,250,340,185.32134253776601,22,Duck
220,250,340,166.43316977093238,22,Duck
198,250,340,148.4048516727132,22,Duck
176,250,340,131.59027319676784,22,Duck
154,250,340,116.51609330903607,22,Duck
132,250,340,103.94229168149026,22,Duck
110,250,340,94.86832980505137,22,Duck
88,250,340,90.35485598461214,22,Duck
66,250,340,91.0823802938856,22,Duck
44,250,340,96.93296652842108,22,Duck
22,250,340,107.07007051459338,22,Duck
0,250,340,120.41594578792295,22,Duck
-22,250,340,136.02940858505562,22,Duck
-44,250,340,153.21879780235844,22,Duck
-66,250,340,171.51093259614677,22,Duck
-88,250,340,190.58856209122308,22,Duck
1100,325,340,1020.1102881551583,22,Duck
1078,325,310,998.1127190853747,22,Run
1056,325,310,976.1152595877189,22,Run
1034,325,310,954.1179172408408,22,Run
1012,325,310,932.1207003387491,22,Run
990,325,310,910.1236179772504,22,Run
968,325,310,888.1266801532313,22,Run
946,325,310,866.1298978790652,22,Run
924,325,310,844.133283314904,22,Run
902,325,310,822.1368499222012,22,Run
880,325,310,800.1406126425529,23,Run
857,325,310,777.1447741572995,23,Run
834,325,310,754.1491894844149,23,Run
811,325,310,731.1538825719248,23,Run
788,325,310,708.1588804781029,23,Run
765,325,310,685.1642138932826,23,Run
742,325,310,662.1699177703559,23,Run
719,325,310,639.1760320913168,23,Run
696,325,310,616.1826028053697,23,Run
673,325,310,593.1896829851308,23,Run
650,325,310,570.1973342624464,23,Run
627,325,310,547.2056286260221,23,Run
604,325,310,524.2146506918707,23,Run
581,325,310,501.2245005982848,23,Run
558,325,310,478.2352977353303,23,Run
535,325,310,455.2471856036015,23,Run
512,325,310,432.2603382222338,23,Run
489,325,310,409.27496869464176,23,Run
466,325,310,386.29134082969034,23,Run
443,325,310,363.30978516962625,23,Run
420,325,310,340.3307215048327,23,Run
397,325,310,317.35469115801646,23,Run
374,325,310,294.38240436547835,23,Run
351,325,276,275.3942628305826,23,Jump
328,325,245,260.5839595984373,23,Jump
305,325,217,249.57764322951687,23,Jump
282,325,192,241.85326129701042,23,Jump
259,325,170,236.78260071213003,23,Jump
236,325,152,232.94849216082082,23,Jump
213,325,137,230.28894893155424,23,Jump
190,325,125,228.25424421026653,23,Jump
167,325,116,226.38462845343543,23,Jump
144,325,110,224.32342722060932,23,Jump
121,325,108,220.83930809527547,23,Jump
98,325,109,216.74870241826133,23,Jump
75,325,113,212.05895406702354,23,Jump
52,325,120,206.90335908341362,23,Jump
29,325,130,201.5589243868899,23,Jump
6,325,144,195.54283418218117,23,Jump
-17,325,161,190.53870997778904,23,Jump
-40,325,181,187.4459922217597,23,Jump
-63,325,204,187.32325002519042,23,Jump
1100,325,230,1024.414466902923,23,Jump
1077,325,260,999.1166098108869,23,Jump
1054,325,293,974.5255255764212,23,Jump
1031,325,310,951.1182891733289,23,Run
1008,325,310,928.1212205310253,23,Run
985,325,310,905.1243008559653,23,Run
962,325,310,882.1275417988036,23,Run
939,325,310,859.1309562575428,23,Run
916,325,310,836.1345585490412,23,Run
893,325,310,813.1383646096155,23,Run
870,325,310,790.1423922306662,23,Run
847,325,310,767.1466613366704,23,Run
824,325,310,744.1511943147037,23,Run
801,325,310,721.1560164069908,23,Run
778,325,310,698.1611561810067,23,Run
755,325,310,675.1666460956139,23,Run
